Date,Open,High,Low,Close,Adj Close,Volume
2022-08-26,4400.000000,4420.000000,4360.000000,4360.000000,3070.794922,40084500
2022-08-29,4300.000000,4390.000000,4260.000000,4360.000000,3070.794922,34708100
2022-08-30,4380.000000,4430.000000,4310.000000,4340.000000,3056.708740,34388600
2022-08-31,4320.000000,4330.000000,4170.000000,4250.000000,2993.320801,74260800
2022-09-01,4250.000000,4320.000000,4220.000000,4240.000000,2986.277588,32141600
2022-09-02,4280.000000,4320.000000,4240.000000,4260.000000,3000.364014,27124700
2022-09-05,4270.000000,4470.000000,4270.000000,4450.000000,3134.182861,73175300
2022-09-06,4500.000000,4530.000000,4470.000000,4470.000000,3148.269043,35981300
2022-09-07,4460.000000,4460.000000,4370.000000,4430.000000,3120.096680,21382600
2022-09-08,4400.000000,4400.000000,4310.000000,4330.000000,3049.665771,31126800
2022-09-09,4330.000000,4370.000000,4260.000000,4310.000000,3035.579346,26030100
2022-09-12,4340.000000,4360.000000,4310.000000,4340.000000,3056.708740,12531400
2022-09-13,4360.000000,4390.000000,4330.000000,4370.000000,3077.838135,13358400
2022-09-14,4370.000000,4390.000000,4310.000000,4360.000000,3070.794922,17757300
2022-09-15,4390.000000,4480.000000,4380.000000,4410.000000,3106.010498,28087800
2022-09-16,4410.000000,4420.000000,4300.000000,4320.000000,3042.622559,35922800
2022-09-19,4320.000000,4330.000000,4200.000000,4220.000000,2972.191406,38555600
2022-09-20,4230.000000,4260.000000,4180.000000,4200.000000,2958.105225,25845100
2022-09-21,4200.000000,4210.000000,4160.000000,4210.000000,2965.148438,25503200
2022-09-22,4210.000000,4350.000000,4200.000000,4340.000000,3056.708740,30196900
2022-09-23,4320.000000,4330.000000,4250.000000,4300.000000,3028.536377,13667700
2022-09-26,4210.000000,4240.000000,4090.000000,4150.000000,2922.889648,50781400
2022-09-27,4150.000000,4200.000000,4140.000000,4170.000000,2936.975830,16453700
2022-09-28,4140.000000,4200.000000,4140.000000,4150.000000,2922.889648,14137400
2022-09-29,4160.000000,4190.000000,4130.000000,4140.000000,2915.846680,14467700
2022-09-30,4120.000000,4180.000000,4070.000000,4170.000000,2936.975830,18311600
2022-10-03,4150.000000,4170.000000,4130.000000,4160.000000,2929.932861,10035000
2022-10-04,4230.000000,4240.000000,4200.000000,4240.000000,2986.277588,18377000
2022-10-05,4250.000000,4270.000000,4200.000000,4210.000000,2965.148438,13327400
2022-10-06,4200.000000,4320.000000,4200.000000,4230.000000,2979.234619,29068300
2022-10-07,4230.000000,4290.000000,4230.000000,4290.000000,3021.493164,13954900
2022-10-10,4230.000000,4240.000000,4140.000000,4150.000000,2922.889648,30417100
2022-10-11,4160.000000,4250.000000,4160.000000,4220.000000,2972.191406,13346800
2022-10-12,4230.000000,4300.000000,4210.000000,4260.000000,3000.364014,23061800
2022-10-13,4310.000000,4330.000000,4250.000000,4250.000000,2993.320801,30507400
2022-10-14,4280.000000,4300.000000,4230.000000,4230.000000,2979.234619,14881500
2022-10-17,4230.000000,4270.000000,4180.000000,4250.000000,2993.320801,12921500
2022-10-18,4280.000000,4280.000000,3960.000000,3960.000000,2789.070557,82991500
2022-10-19,3720.000000,3870.000000,3690.000000,3730.000000,2627.079102,181494300
2022-10-20,3750.000000,3890.000000,3750.000000,3830.000000,2697.510254,142412300
2022-10-21,3860.000000,3870.000000,3790.000000,3830.000000,2697.510254,33609400
2022-10-24,3840.000000,3860.000000,3780.000000,3780.000000,2662.294678,32953300
2022-10-25,3780.000000,3780.000000,3730.000000,3750.000000,2641.165527,31677000
2022-10-26,3710.000000,3850.000000,3710.000000,3810.000000,2683.424072,34456500
2022-10-27,3850.000000,3870.000000,3780.000000,3790.000000,2669.337891,52332800
2022-10-28,3810.000000,3830.000000,3780.000000,3790.000000,2669.337891,17110100
2022-10-31,3810.000000,3920.000000,3800.000000,3910.000000,2753.855225,61756700
2022-11-01,3880.000000,3880.000000,3740.000000,3750.000000,2641.165527,53983400
2022-11-02,3750.000000,3800.000000,3710.000000,3740.000000,2634.122314,38596200
2022-11-03,3750.000000,3790.000000,3720.000000,3750.000000,2641.165527,19265200
2022-11-04,3760.000000,3790.000000,3750.000000,3750.000000,2641.165527,23911100
2022-11-07,3760.000000,3840.000000,3760.000000,3830.000000,2697.510254,20922900
2022-11-08,3800.000000,3810.000000,3760.000000,3790.000000,2669.337891,19180800
2022-11-09,3780.000000,3780.000000,3660.000000,3660.000000,2577.777344,58128700
2022-11-10,3550.000000,3580.000000,3430.000000,3470.000000,2443.958496,84559700
2022-11-11,3470.000000,3520.000000,3460.000000,3480.000000,2451.001465,27996300
2022-11-14,3490.000000,3550.000000,3460.000000,3480.000000,2451.001465,27835700
2022-11-15,3510.000000,3530.000000,3470.000000,3500.000000,2465.087646,16334300
2022-11-16,3540.000000,3560.000000,3490.000000,3500.000000,2465.087646,23171500
2022-11-17,3500.000000,3560.000000,3460.000000,3550.000000,2500.303223,13789700
2022-11-18,3550.000000,3570.000000,3520.000000,3550.000000,2500.303223,11151000
2022-11-21,3550.000000,3650.000000,3550.000000,3650.000000,2570.734375,21065200
2022-11-22,3650.000000,3690.000000,3630.000000,3690.000000,2598.906738,15741500
2022-11-23,3690.000000,3740.000000,3680.000000,3700.000000,2605.949951,11413000
2022-11-24,3700.000000,3720.000000,3680.000000,3690.000000,2598.906738,6081200
2022-11-25,3690.000000,3700.000000,3640.000000,3640.000000,2563.691162,6007100
2022-11-28,3640.000000,3710.000000,3640.000000,3680.000000,2591.863770,9513300
2022-11-29,3730.000000,3770.000000,3710.000000,3750.000000,2641.165527,14829100
2022-11-30,3780.000000,3810.000000,3770.000000,3800.000000,2676.380859,26589900
2022-12-01,3820.000000,3850.000000,3800.000000,3810.000000,2683.424072,13035900
2022-12-02,3800.000000,3810.000000,3760.000000,3770.000000,2655.251709,8869700
2022-12-05,3800.000000,3800.000000,3690.000000,3690.000000,2598.906738,10447500
2022-12-06,3720.000000,3730.000000,3650.000000,3660.000000,2577.777344,10636100
2022-12-07,3670.000000,3740.000000,3670.000000,3690.000000,2598.906738,15604000
2022-12-08,3700.000000,3710.000000,3610.000000,3700.000000,2605.949951,12590200
2022-12-09,3680.000000,3680.000000,3610.000000,3620.000000,2549.604980,11010300
2022-12-12,3620.000000,3820.000000,3620.000000,3800.000000,2676.380859,24873400
2022-12-13,3800.000000,3800.000000,3720.000000,3720.000000,2620.036133,13723700
2022-12-14,3760.000000,3840.000000,3750.000000,3790.000000,2669.337891,21040500
2022-12-15,3780.000000,3830.000000,3760.000000,3770.000000,2655.251709,14399200
2022-12-16,3750.000000,3800.000000,3720.000000,3800.000000,2676.380859,15471000
2022-12-19,3800.000000,3820.000000,3780.000000,3820.000000,2690.467041,11047100
2022-12-20,3810.000000,3820.000000,3760.000000,3770.000000,2655.251709,12167500
2022-12-21,3790.000000,3790.000000,3740.000000,3760.000000,2648.208496,6824700
2022-12-22,3760.000000,3800.000000,3740.000000,3760.000000,2648.208496,5661500
2022-12-23,3750.000000,3760.000000,3730.000000,3740.000000,2634.122314,6330000
2022-12-26,3740.000000,3750.000000,3690.000000,3700.000000,2605.949951,9093600
2022-12-27,3690.000000,3710.000000,3670.000000,3690.000000,2598.906738,6339500
2022-12-28,3690.000000,3710.000000,3660.000000,3670.000000,2584.820557,5923500
2022-12-29,3670.000000,3690.000000,3660.000000,3670.000000,2584.820557,5196900
2022-12-30,3670.000000,3700.000000,3650.000000,3690.000000,2598.906738,9279800
2023-01-02,3690.000000,3740.000000,3680.000000,3690.000000,2598.906738,3809800
2023-01-03,3690.000000,3740.000000,3680.000000,3730.000000,2627.079102,8567800
2023-01-04,3730.000000,3730.000000,3620.000000,3620.000000,2549.604980,13984400
2023-01-05,3620.000000,3630.000000,3390.000000,3410.000000,2401.699707,29603400
2023-01-06,3400.000000,3500.000000,3380.000000,3430.000000,2415.785889,17087900
2023-01-09,3430.000000,3450.000000,3260.000000,3280.000000,2310.139404,33010300
2023-01-10,3280.000000,3370.000000,3240.000000,3360.000000,2366.484131,17511900
2023-01-11,3380.000000,3410.000000,3310.000000,3400.000000,2394.656738,11056600
2023-01-12,3360.000000,3380.000000,3330.000000,3330.000000,2345.354980,10809700
2023-01-13,3330.000000,3360.000000,3320.000000,3330.000000,2345.354980,6907600
2023-01-16,3320.000000,3350.000000,3300.000000,3320.000000,2338.311768,6438200
2023-01-17,3310.000000,3390.000000,3300.000000,3350.000000,2359.441162,8112900
2023-01-18,3360.000000,3460.000000,3360.000000,3410.000000,2401.699707,10347000
2023-01-19,3410.000000,3490.000000,3410.000000,3490.000000,2458.044678,9464800
2023-01-20,3500.000000,3570.000000,3480.000000,3570.000000,2514.389404,12454900
2023-01-24,3560.000000,3560.000000,3510.000000,3540.000000,2493.260254,12646500
2023-01-25,3540.000000,3540.000000,3480.000000,3480.000000,2451.001465,9716900
2023-01-26,3440.000000,3440.000000,3360.000000,3390.000000,2387.613525,16932400
2023-01-27,3430.000000,3480.000000,3420.000000,3470.000000,2443.958496,12588300
2023-01-30,3470.000000,3540.000000,3430.000000,3450.000000,2429.872070,8147600
2023-01-31,3420.000000,3480.000000,3400.000000,3400.000000,2394.656738,16209800
2023-02-01,3400.000000,3430.000000,3360.000000,3380.000000,2380.570313,13751700
2023-02-02,3390.000000,3420.000000,3370.000000,3420.000000,2408.742920,12761100
2023-02-03,3390.000000,3400.000000,3320.000000,3330.000000,2345.354980,17534100
2023-02-06,3330.000000,3350.000000,3250.000000,3260.000000,2296.053223,31840600
2023-02-07,3340.000000,3470.000000,3330.000000,3470.000000,2443.958496,34808600
2023-02-08,3500.000000,3530.000000,3420.000000,3490.000000,2458.044678,15272900
2023-02-09,3450.000000,3490.000000,3400.000000,3480.000000,2451.001465,15367900
2023-02-10,3430.000000,3430.000000,3350.000000,3370.000000,2373.527344,20199900
2023-02-13,3400.000000,3440.000000,3360.000000,3370.000000,2373.527344,12384800
2023-02-14,3370.000000,3430.000000,3360.000000,3400.000000,2394.656738,7805600
2023-02-15,3400.000000,3510.000000,3400.000000,3440.000000,2422.829102,18276700
2023-02-16,3450.000000,3520.000000,3430.000000,3510.000000,2472.130859,13802700
2023-02-17,3490.000000,3500.000000,3470.000000,3490.000000,2458.044678,8531200
2023-02-20,3490.000000,3580.000000,3470.000000,3570.000000,2514.389404,11345300
2023-02-21,3580.000000,3580.000000,3520.000000,3520.000000,2479.173828,5918800
2023-02-22,3550.000000,3590.000000,3510.000000,3540.000000,2493.260254,6890700
2023-02-23,3560.000000,3610.000000,3540.000000,3560.000000,2507.346436,8374700
2023-02-24,3600.000000,3680.000000,3570.000000,3660.000000,2577.777344,15629200
2023-02-27,3710.000000,3780.000000,3700.000000,3730.000000,2627.079102,17146400
2023-02-28,3730.000000,3870.000000,3730.000000,3860.000000,2718.639648,36876800
2023-03-01,3860.000000,3900.000000,3860.000000,3880.000000,2732.725830,19526100
2023-03-02,3880.000000,4000.000000,3820.000000,4000.000000,2817.243164,36403900
2023-03-03,4010.000000,4020.000000,3940.000000,4010.000000,2824.286133,24567900
2023-03-06,4000.000000,4000.000000,3900.000000,3990.000000,2810.199951,19550700
2023-03-07,3950.000000,3970.000000,3830.000000,3830.000000,2697.510254,24036800
2023-03-08,3790.000000,3890.000000,3770.000000,3860.000000,2718.639648,22532000
2023-03-09,3860.000000,3940.000000,3860.000000,3940.000000,2774.984375,23742100
2023-03-10,3940.000000,3940.000000,3880.000000,3890.000000,2739.768799,12200200
2023-03-13,3890.000000,3930.000000,3860.000000,3930.000000,2767.941406,16218900
2023-03-14,3920.000000,3920.000000,3830.000000,3830.000000,2697.510254,23028400
2023-03-15,3850.000000,3880.000000,3810.000000,3810.000000,2683.424072,11839300
2023-03-16,3790.000000,3820.000000,3640.000000,3650.000000,2570.734375,28905300
2023-03-17,3660.000000,3880.000000,3660.000000,3880.000000,2732.725830,144938200
2023-03-20,3810.000000,3840.000000,3760.000000,3830.000000,2697.510254,13420800
2023-03-21,3810.000000,3810.000000,3750.000000,3750.000000,2641.165527,9262600
2023-03-24,3770.000000,3800.000000,3710.000000,3710.000000,2612.992920,11071300
2023-03-27,3730.000000,3770.000000,3700.000000,3700.000000,2605.949951,11044100
2023-03-28,3740.000000,3840.000000,3710.000000,3810.000000,2683.424072,20342500
2023-03-29,3860.000000,3960.000000,3830.000000,3910.000000,2753.855225,27957300
2023-03-30,3920.000000,3950.000000,3850.000000,3870.000000,2725.682617,16050300
2023-03-31,3870.000000,3990.000000,3870.000000,3990.000000,2810.199951,22278900
2023-04-03,4000.000000,4060.000000,3990.000000,4040.000000,2845.415527,31523300
2023-04-04,4090.000000,4150.000000,4050.000000,4100.000000,2887.674072,25067200
2023-04-05,4100.000000,4100.000000,4050.000000,4070.000000,2866.544922,12105400
2023-04-06,4060.000000,4090.000000,4030.000000,4030.000000,2838.372314,9000200
2023-04-10,4030.000000,4050.000000,3930.000000,3960.000000,2789.070557,13363600
2023-04-11,3960.000000,4010.000000,3950.000000,3980.000000,2803.156982,12151300
2023-04-12,3990.000000,3990.000000,3920.000000,3920.000000,2760.898193,16002900
2023-04-13,3940.000000,4060.000000,3940.000000,3980.000000,2803.156982,21928200
2023-04-14,3980.000000,4030.000000,3930.000000,3970.000000,2796.113770,18329300
2023-04-17,3970.000000,4000.000000,3940.000000,3950.000000,2782.027588,14543500
2023-04-18,3950.000000,4080.000000,3950.000000,4040.000000,2845.415527,22457900
2023-04-26,4040.000000,4140.000000,4040.000000,4140.000000,2915.846680,35310300
2023-04-27,4140.000000,4140.000000,4110.000000,4130.000000,2908.803467,10775200
2023-04-28,4130.000000,4200.000000,4120.000000,4140.000000,2915.846680,18429100
2023-05-02,3860.000000,3860.000000,3860.000000,3860.000000,2718.639648,14301100
2023-05-03,3590.000000,3590.000000,3590.000000,3590.000000,2528.475586,24435700
2023-05-04,3510.000000,3610.000000,3390.000000,3410.000000,2401.699707,125846600
2023-05-05,3400.000000,3400.000000,3310.000000,3360.000000,2366.484131,53580000
2023-05-08,3380.000000,3520.000000,3380.000000,3490.000000,2458.044678,41505500
2023-05-09,3510.000000,3520.000000,3470.000000,3490.000000,2458.044678,17810800
2023-05-10,3490.000000,3540.000000,3480.000000,3490.000000,2458.044678,13856500
2023-05-11,3500.000000,3510.000000,3420.000000,3440.000000,2422.829102,18151200
2023-05-12,3440.000000,3460.000000,3400.000000,3400.000000,2394.656738,13302600
2023-05-15,3400.000000,3460.000000,3380.000000,3410.000000,2401.699707,12768700
2023-05-16,3430.000000,3450.000000,3340.000000,3370.000000,2373.527344,14421100
2023-05-17,3370.000000,3370.000000,3250.000000,3270.000000,2303.096191,37555700
2023-05-19,3250.000000,3250.000000,3100.000000,3120.000000,2197.449707,43420000
2023-05-22,3140.000000,3220.000000,3140.000000,3160.000000,2225.622070,33256500
2023-05-23,3160.000000,3250.000000,3150.000000,3150.000000,2218.578857,23083500
2023-05-24,3150.000000,3190.000000,3110.000000,3110.000000,2190.406494,16240300
2023-05-25,3050.000000,3090.000000,3010.000000,3010.000000,2119.975342,40149100
2023-05-26,3000.000000,3060.000000,2930.000000,2940.000000,2070.673584,30321200
2023-05-29,2980.000000,2980.000000,2840.000000,2960.000000,2084.760010,36353800
2023-05-30,2960.000000,3120.000000,2930.000000,3090.000000,2176.320313,31065600
2023-05-31,3040.000000,3100.000000,2990.000000,3060.000000,2155.190918,30729400
2023-06-05,3090.000000,3170.000000,3080.000000,3150.000000,2218.578857,22083900
2023-06-06,3240.000000,3300.000000,3200.000000,3280.000000,2310.139404,41069800
2023-06-07,3260.000000,3260.000000,3170.000000,3190.000000,2246.751465,35833900
2023-06-08,3230.000000,3310.000000,3210.000000,3300.000000,2324.225586,26853300
2023-06-09,3320.000000,3390.000000,3270.000000,3380.000000,2380.570313,28242500
2023-06-12,3390.000000,3540.000000,3390.000000,3530.000000,2486.217041,44733700
2023-06-13,3520.000000,3550.000000,3460.000000,3490.000000,2458.044678,51190800
2023-06-14,3510.000000,3530.000000,3440.000000,3480.000000,2451.001465,44344200
2023-06-15,3490.000000,3640.000000,3460.000000,3630.000000,2556.648193,97154700
2023-06-16,4000.000000,4060.000000,3820.000000,3820.000000,2690.467041,284014900
2023-06-19,3820.000000,3870.000000,3770.000000,3790.000000,2669.337891,63449900
2023-06-20,3810.000000,3870.000000,3810.000000,3850.000000,2711.596436,62961300
